action,time,n
add,0.000002,1
scope,0.000001,1
content,0.000001,1
add,0.000000,2
scope,0.000001,2
content,0.000001,2
add,0.000001,3
scope,0.000001,3
content,0.000001,3
add,0.000000,4
scope,0.000001,4
content,0.000000,4
add,0.000001,5
scope,0.000001,5
content,0.000001,5
add,0.000001,6
scope,0.000002,6
content,0.000001,6
add,0.000001,7
scope,0.000002,7
content,0.000001,7
add,0.000001,8
scope,0.000002,8
content,0.000001,8
add,0.000001,9
scope,0.000002,9
content,0.000001,9
add,0.000001,10
scope,0.000002,10
content,0.000001,10
add,0.000000,11
scope,0.000001,11
content,0.000001,11
add,0.000001,12
scope,0.000002,12
content,0.000001,12
add,0.000001,13
scope,0.000002,13
content,0.000001,13
add,0.000001,14
scope,0.000001,14
content,0.000001,14
add,0.000001,15
scope,0.000002,15
content,0.000001,15
add,0.000001,16
scope,0.000002,16
content,0.000001,16
add,0.000000,17
scope,0.000002,17
content,0.000001,17
add,0.000000,18
scope,0.000002,18
content,0.000001,18
add,0.000001,19
scope,0.000002,19
content,0.000001,19
add,0.000001,20
scope,0.000002,20
content,0.000001,20
add,0.000001,21
scope,0.000002,21
content,0.000001,21
add,0.000001,22
scope,0.000003,22
content,0.000001,22
add,0.000000,23
scope,0.000002,23
content,0.000001,23
add,0.000001,24
scope,0.000003,24
content,0.000001,24
add,0.000001,25
scope,0.000003,25
content,0.000001,25
add,0.000000,26
scope,0.000002,26
content,0.000002,26
add,0.000001,27
scope,0.000003,27
content,0.000001,27
add,0.000001,28
scope,0.000006,28
content,0.000001,28
add,0.000001,29
scope,0.000003,29
content,0.000001,29
add,0.000000,30
scope,0.000003,30
content,0.000001,30
add,0.000000,31
scope,0.000003,31
content,0.000002,31
add,0.000000,32
scope,0.000003,32
content,0.000001,32
add,0.000000,33
scope,0.000003,33
content,0.000001,33
add,0.000000,34
scope,0.000003,34
content,0.000001,34
add,0.000001,35
scope,0.000003,35
content,0.000001,35
add,0.000001,36
scope,0.000004,36
content,0.000001,36
add,0.000000,37
scope,0.000003,37
content,0.000001,37
add,0.000001,38
scope,0.000004,38
content,0.000001,38
add,0.000000,39
scope,0.000003,39
content,0.000001,39
add,0.000001,40
scope,0.000004,40
content,0.000001,40
add,0.000001,41
scope,0.000004,41
content,0.000001,41
add,0.000001,42
scope,0.000004,42
content,0.000001,42
add,0.000001,43
scope,0.000004,43
content,0.000001,43
add,0.000001,44
scope,0.000004,44
content,0.000001,44
add,0.000001,45
scope,0.000004,45
content,0.000001,45
add,0.000001,46
scope,0.000004,46
content,0.000002,46
add,0.000000,47
scope,0.000004,47
content,0.000001,47
add,0.000001,48
scope,0.000004,48
content,0.000001,48
add,0.000001,49
scope,0.000005,49
content,0.000001,49
add,0.000001,50
scope,0.000004,50
content,0.000001,50
add,0.000000,51
scope,0.000004,51
content,0.000002,51
add,0.000001,52
scope,0.000004,52
content,0.000001,52
add,0.000001,53
scope,0.000005,53
content,0.000001,53
add,0.000001,54
scope,0.000005,54
content,0.000001,54
add,0.000001,55
scope,0.000005,55
content,0.000001,55
add,0.000001,56
scope,0.000005,56
content,0.000002,56
add,0.000001,57
scope,0.000004,57
content,0.000002,57
add,0.000000,58
scope,0.000004,58
content,0.000001,58
add,0.000001,59
scope,0.000005,59
content,0.000002,59
add,0.000000,60
scope,0.000005,60
content,0.000002,60
add,0.000001,61
scope,0.000004,61
content,0.000001,61
add,0.000001,62
scope,0.000005,62
content,0.000002,62
add,0.000001,63
scope,0.000005,63
content,0.000002,63
add,0.000000,64
scope,0.000005,64
content,0.000002,64
add,0.000000,65
scope,0.000005,65
content,0.000002,65
add,0.000000,66
scope,0.000005,66
content,0.000002,66
add,0.000001,67
scope,0.000005,67
content,0.000001,67
add,0.000001,68
scope,0.000006,68
content,0.000002,68
add,0.000000,69
scope,0.000005,69
content,0.000001,69
add,0.000001,70
scope,0.000006,70
content,0.000002,70
add,0.000000,71
scope,0.000005,71
content,0.000002,71
add,0.000001,72
scope,0.000006,72
content,0.000001,72
add,0.000001,73
scope,0.000006,73
content,0.000001,73
add,0.000001,74
scope,0.000006,74
content,0.000002,74
add,0.000001,75
scope,0.000008,75
content,0.000002,75
add,0.000000,76
scope,0.000005,76
content,0.000002,76
add,0.000000,77
scope,0.000006,77
content,0.000001,77
add,0.000001,78
scope,0.000005,78
content,0.000002,78
add,0.000000,79
scope,0.000006,79
content,0.000002,79
add,0.000001,80
scope,0.000006,80
content,0.000002,80
add,0.000000,81
scope,0.000006,81
content,0.000002,81
add,0.000001,82
scope,0.000006,82
content,0.000002,82
add,0.000000,83
scope,0.000006,83
content,0.000001,83
add,0.000001,84
scope,0.000007,84
content,0.000001,84
add,0.000001,85
scope,0.000007,85
content,0.000002,85
add,0.000001,86
scope,0.000007,86
content,0.000002,86
add,0.000001,87
scope,0.000007,87
content,0.000002,87
add,0.000001,88
scope,0.000007,88
content,0.000001,88
add,0.000001,89
scope,0.000007,89
content,0.000002,89
add,0.000000,90
scope,0.000006,90
content,0.000002,90
add,0.000001,91
scope,0.000007,91
content,0.000002,91
add,0.000001,92
scope,0.000007,92
content,0.000002,92
add,0.000001,93
scope,0.000007,93
content,0.000002,93
add,0.000001,94
scope,0.000006,94
content,0.000002,94
add,0.000001,95
scope,0.000007,95
content,0.000002,95
add,0.000001,96
scope,0.000007,96
content,0.000002,96
add,0.000001,97
scope,0.000007,97
content,0.000002,97
add,0.000001,98
scope,0.000007,98
content,0.000002,98
add,0.000001,99
scope,0.000007,99
content,0.000001,99
add,0.000001,100
scope,0.000007,100
content,0.000002,100
add,0.000001,101
scope,0.000007,101
content,0.000002,101
add,0.000000,102
scope,0.000007,102
content,0.000002,102
add,0.000001,103
scope,0.000008,103
content,0.000002,103
add,0.000000,104
scope,0.000007,104
content,0.000002,104
add,0.000001,105
scope,0.000008,105
content,0.000002,105
add,0.000001,106
scope,0.000008,106
content,0.000002,106
add,0.000001,107
scope,0.000008,107
content,0.000002,107
add,0.000001,108
scope,0.000036,108
content,0.000002,108
add,0.000001,109
scope,0.000008,109
content,0.000002,109
add,0.000000,110
scope,0.000008,110
content,0.000002,110
add,0.000001,111
scope,0.000008,111
content,0.000002,111
add,0.000001,112
scope,0.000009,112
content,0.000002,112
add,0.000001,113
scope,0.000008,113
content,0.000002,113
add,0.000000,114
scope,0.000008,114
content,0.000002,114
add,0.000000,115
scope,0.000008,115
content,0.000002,115
add,0.000001,116
scope,0.000009,116
content,0.000002,116
add,0.000001,117
scope,0.000009,117
content,0.000002,117
add,0.000001,118
scope,0.000009,118
content,0.000002,118
add,0.000001,119
scope,0.000009,119
content,0.000002,119
add,0.000001,120
scope,0.000009,120
content,0.000002,120
add,0.000001,121
scope,0.000010,121
content,0.000002,121
add,0.000001,122
scope,0.000012,122
content,0.000002,122
add,0.000001,123
scope,0.000009,123
content,0.000003,123
add,0.000000,124
scope,0.000009,124
content,0.000003,124
add,0.000000,125
scope,0.000009,125
content,0.000002,125
add,0.000001,126
scope,0.000009,126
content,0.000002,126
add,0.000001,127
scope,0.000009,127
content,0.000002,127
add,0.000001,128
scope,0.000009,128
content,0.000002,128
add,0.000001,129
scope,0.000009,129
content,0.000002,129
add,0.000001,130
scope,0.000009,130
content,0.000002,130
add,0.000001,131
scope,0.000009,131
content,0.000002,131
add,0.000001,132
scope,0.000010,132
content,0.000003,132
add,0.000000,133
scope,0.000009,133
content,0.000002,133
add,0.000001,134
scope,0.000010,134
content,0.000003,134
add,0.000001,135
scope,0.000009,135
content,0.000002,135
add,0.000001,136
scope,0.000010,136
content,0.000002,136
add,0.000001,137
scope,0.000010,137
content,0.000003,137
add,0.000001,138
scope,0.000010,138
content,0.000002,138
add,0.000001,139
scope,0.000010,139
content,0.000002,139
add,0.000001,140
scope,0.000010,140
content,0.000002,140
add,0.000001,141
scope,0.000010,141
content,0.000002,141
add,0.000001,142
scope,0.000010,142
content,0.000002,142
add,0.000001,143
scope,0.000010,143
content,0.000003,143
add,0.000000,144
scope,0.000010,144
content,0.000002,144
add,0.000001,145
scope,0.000010,145
content,0.000003,145
add,0.000000,146
scope,0.000010,146
content,0.000002,146
add,0.000001,147
scope,0.000011,147
content,0.000002,147
add,0.000001,148
scope,0.000011,148
content,0.000002,148
add,0.000001,149
scope,0.000011,149
content,0.000002,149
add,0.000001,150
scope,0.000011,150
content,0.000002,150
add,0.000001,151
scope,0.000010,151
content,0.000003,151
add,0.000000,152
scope,0.000011,152
content,0.000002,152
add,0.000001,153
scope,0.000011,153
content,0.000002,153
add,0.000001,154
scope,0.000010,154
content,0.000003,154
add,0.000001,155
scope,0.000011,155
content,0.000003,155
add,0.000000,156
scope,0.000011,156
content,0.000002,156
add,0.000001,157
scope,0.000012,157
content,0.000002,157
add,0.000001,158
scope,0.000012,158
content,0.000002,158
add,0.000001,159
scope,0.000012,159
content,0.000002,159
add,0.000001,160
scope,0.000012,160
content,0.000002,160
add,0.000001,161
scope,0.000011,161
content,0.000003,161
add,0.000001,162
scope,0.000012,162
content,0.000003,162
add,0.000000,163
scope,0.000011,163
content,0.000002,163
add,0.000001,164
scope,0.000012,164
content,0.000003,164
add,0.000000,165
scope,0.000011,165
content,0.000002,165
add,0.000001,166
scope,0.000012,166
content,0.000003,166
add,0.000001,167
scope,0.000012,167
content,0.000003,167
add,0.000001,168
scope,0.000014,168
content,0.000003,168
